id,kind,category,subcategory,name,zone,current_file,state,priority,placements,size_px,format,target_path,constraints,owner,status,notes
mob-koboldranged,Art,Mob,Small Fantasy — kobolds,KoboldRanged,,koboldRanged.svg,drawn,P2,6,60–72,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash; darkness-overlay,,,"Back-line volley. Same size as melee, so the drawing carries the difference."
mob-bandit,Art,Mob,Humanoid — bandits,Bandit,,bandit.svg,drawn,P1,21,72–84,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash,,,The baseline human enemy. Blades + bleed. Never flees.
mob-banditranged,Art,Mob,Humanoid — bandits,BanditRanged,,banditRanged.svg,drawn,P2,4,72–84,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash,,,Crossbow volley from behind the line.
mob-bandithealer,Art,Mob,Humanoid — bandits,BanditHealer,,banditHealer.svg,drawn,P0,3,72–84,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash,,,⭐ Never attacks; out-heals a solo player. The encounter assumes you can spot it in a crowd instantly. Highest readability need on the list.
mob-banditpyromancer,Art,Mob,Humanoid — bandits,BanditPyromancer,,banditPyromancer.svg,drawn,P2,3,92–104,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash,,,Fire mage hanging back behind the melee.
mob-rallydrummer,Art,Mob,Humanoid — bandits,RallyDrummer,,rallyDrummer.svg,drawn,P0,1,88–100,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash,,,"⭐ Shields allies, never itself. Second kill-priority — same crowd problem."
mob-elitebandit,Art,Mob,Humanoid — bandits,EliteBandit,,eliteBandit.svg,drawn,P2,1,100–116,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash; tier-ring,,,"Camp leader, crits. Silver ring."
mob-marauder,Art,Mob,Humanoid — bandits,Marauder,,marauder.svg,drawn,P2,10,88–104,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash; tier-ring,,,Veteran outlaw past the camp — with no elite frame to lean on.
mob-orcgrunt,Art,Mob,Humanoid — orcs,OrcGrunt,,orcGrunt.svg,drawn,P2,3,84–96,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash; tier-ring,,,Reinforcement wave add at the boss.
mob-orc,Art,Mob,Humanoid — orcs,Orc,,orc.svg,drawn,P0,12,104–120,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash; tier-ring,,,⭐ Must read hostile while standing next to friendly soldiers. Faction contrast is the design job.
mob-orcwarlord,Art,Mob,Humanoid — orcs,OrcWarlord,,orcWarlord.svg,drawn,P0,,156–168,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash; tier-ring,,,⭐ The world boss and the v1 completion beat. Only boss in the game. Gold ring.
mob-warbannertotem,Art,Mob,Humanoid — orcs,WarbannerTotem,,warbannerTotem.svg,drawn,P3,,100–108,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash; tier-ring,,,"Two banners make the boss invulnerable. Must read ""break me"" across an arena."
mob-armysoldier,Art,Mob,Humanoid — human army,ArmySoldier,,armySoldier.svg,drawn,P0,18,72–84,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash,,,⭐ The only friendly combatant in the world. Currently the same size as a Bandit — the friend/foe read is entirely on the art.
mob-fireelemental,Art,Mob,Elemental,FireElemental,,fireElemental.svg,drawn,P2,4,104–124,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash,,,"A living flame. Advances, doesn't chase."
mob-greaterfireelemental,Art,Mob,Elemental,GreaterFireElemental,,greaterFireElemental.svg,drawn,P2,1,144–168,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash; tier-ring,,,A walking furnace. The size gap is the tier signal — keep them obviously the same creature.
mob-troll,Art,Mob,Fantasy,Troll,,troll.svg,drawn,P2,6,128–144,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash; tier-ring,,,Solitary bruiser at the map outskirts. Nothing else in the world looks like it should.
mob-turnip,Art,Mob,Harvest-mob,Turnip,,turnip.svg,drawn,P2,6,40–52,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash,,,"Smallest sprite in the game. Immune to everything but Harvest. A plant you pull, not a creature you kill."
hazard-bramble,Art,Hazard,Obstacles & hazards,Bramble,,bramble.svg,drawn,P2,4,116–132,SVG,frontend/src/features/game-objects/assets/mobs/,no-rotation; damage-flash,,,"Thornwall sealing a forest shortcut. Must read breakable, unlike a tree."
hazard-rockfall,Art,Hazard,Obstacles & hazards,Rockfall,,rockfall.svg,drawn,P2,2,116–132,SVG,frontend/src/features/game-objects/assets/mobs/,no-rotation; damage-flash; darkness-overlay,,,Pickaxe-only wall sealing the venom-spider nest. Also needs to read in the dark.
hazard-poisonpool,Art,Hazard,Obstacles & hazards,PoisonPool,,poisonPool.svg,drawn,P2,15,120–140,SVG,frontend/src/features/game-objects/assets/mobs/,no-rotation; damage-flash,,,"Unkillable floor hazard. Ground-plane read: ""don't step here""."
hazard-spikebarricade,Art,Hazard,Obstacles & hazards,SpikeBarricade,,spikeBarricade.svg,drawn,P2,9,120–132,SVG,frontend/src/features/game-objects/assets/mobs/,no-rotation; damage-flash; tier-ring,,,Unkillable hazard shaping the approach to the boss.
fixture-campfire,Art,Fixture,Fixtures & player summons,Campfire,,campfire.svg,drawn,P0,5,120,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash,,,"⭐ The most important friendly object in the game — bind point, respawn point, heal, fast-travel node. Players navigate by these."
fixture-camp,Art,Fixture,Fixtures & player summons,Camp,,campfire.svg,shared,P1,,60,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash,,,"Your own temporary fire. Size is currently the only cue it's temporary — own art is a gameplay fix, not polish."
fixture-totem,Art,Fixture,Fixtures & player summons,Totem,,totem.svg,drawn,P3,,100,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash,,,Stationary aura carrier.
fixture-firetotem,Art,Fixture,Fixtures & player summons,FireTotem,,fireTotem.svg,drawn,P3,,100,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash,,,"Identical size to Totem — they're siblings, differ by drawing only."
fixture-companion,Art,Fixture,Fixtures & player summons,Companion,,companion.svg,drawn,P3,,80,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash,,,Design intent: reuses the Dog look.
fixture-soldiercompanion,Art,Fixture,Fixtures & player summons,SoldierCompanion,,soldierCompanion.svg,drawn,P3,,68–76,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash,,,The Call for Aid squad.
fixture-shieldbearercompanion,Art,Fixture,Fixtures & player summons,ShieldbearerCompanion,,shieldbearerCompanion.svg,drawn,P3,,76–84,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash,,,The Hold the Line tank.
fixture-mediccompanion,Art,Fixture,Fixtures & player summons,MedicCompanion,,medicCompanion.svg,drawn,P3,,64–72,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash,,,The Field Medics healer.
npc-farmer,Art,NPC,NPCs — talkers,Farmer,Z1 farm field,farmer.svg,drawn,P0,,,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash,,,⭐ The first NPC a player ever meets. Teaches Harvest; gives the first two quests.
npc-hermit,Art,NPC,NPCs — talkers,Hermit,Z1 village,hermit.svg,drawn,P3,,,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash,,,"The quest hub. Teaches First Aid, Heal, Calm, Charm Beast."
npc-towncrier,Art,NPC,NPCs — talkers,TownCrier,Z1 village centre,townCrier.svg,drawn,P3,,,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash,,,The village-arrival anchor. Teaches Recall.
npc-dog,Art,NPC,NPCs — talkers,Dog,Z1 forest clearing,dogNpc.svg,drawn,P3,,,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash,,,"Says ""Woof."" Teaches Summon Companion. Only non-human talker."
npc-miner,Art,NPC,NPCs — talkers,Miner,Z1 tunnel west mouth,miner.svg,drawn,P3,,,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash; darkness-overlay,,,Teaches Pickaxe — the key handed out just before its lock.
npc-wanderer,Art,NPC,NPCs — talkers,Wanderer,Z1–2 roads,wanderer.svg,drawn,P0,,,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash,,,⭐ The only NPC in the game that walks. Worth a walking pose.
npc-lamplesstraveller,Art,NPC,NPCs — talkers,LamplessTraveller,Z1 tunnel road,traveller.svg,drawn,P3,,,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash; darkness-overlay,,,Trades his lamp for kobold kills. The turn-in is the only source of the Lantern aura in the world.
npc-lamplighter,Art,NPC,NPCs — talkers,Lamplighter,Z1 deep NW forest,hermit.svg,shared,P1,,,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash,,,The forest hermit. Teaches Torch — carry your own light.
npc-shaman,Art,NPC,NPCs — talkers,Shaman,Z2 approach,hermit.svg,shared,P1,,,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash,,,"Teaches Summon Totem, at his own fire."
npc-emberkeeper,Art,NPC,NPCs — talkers,Emberkeeper,Z2 north,hermit.svg,shared,P1,,,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash,,,The fire ladder in one NPC: Torch → Ignite → Immolate.
npc-villagehealer,Art,NPC,NPCs — talkers,VillageHealer,Z2 village campfire,villageHealer.svg,drawn,P3,,,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash,,,Teaches Revive — the group-support capstone.
npc-cityguard,Art,NPC,NPCs — talkers,CityGuard,Z2 City Gates,cityGuard.svg,drawn,P3,,,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash,,,Teaches Strong. Gates shut while the front burns; Zone 3 teaser.
npc-frontcaptain,Art,NPC,NPCs — talkers,FrontCaptain,Z2 front staging,frontCaptain.svg,drawn,P3,,,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash; tier-ring,,,Teaches Vanguard @L20. The last giver before the world boss — should look like the end of the road.
npc-forestsign,Art,NPC,NPCs — monuments & signs,ForestSign,Z1 dark-forest edge,signpost.svg,drawn,P3,,,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash; darkness-overlay; tier-ring,,,"""DANGER! STAY AWAY!"" Points at the Elite Wolf — deliberately the only warning."
npc-ascensionstone,Art,NPC,NPCs — monuments & signs,AscensionStone,Z1 village,signpost.svg,shared,P0,,,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash,,,"⭐ The meta-progression altar, where a max-level character is spent. The game's most significant object currently looks like a road sign. Owes a site, not just a prop."
npc-memorialstone,Art,NPC,NPCs — monuments & signs,MemorialStone,Z1 village,signpost.svg,shared,P1,,,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash,,,Names of everyone ascended. Stands beside the stone — so the village has two identical signposts side by side.
npc-frontascensionstone,Art,NPC,NPCs — monuments & signs,FrontAscensionStone,Z2 front,signpost.svg,shared,P1,,,SVG,frontend/src/features/game-objects/assets/mobs/,portrait-rule; no-rotation; damage-flash,,,"The second site (level 25). Same kind of monument, war-front setting."
prop-tree,Art,Prop,Props,Tree,,roundTree.svg,drawn,P0,573,492,SVG,frontend/src/features/game-objects/assets/resources/,darkness-overlay,,,"⭐ Highest-value asset in the project. Every forest, farm edge, city street and tunnel approach. 2–4 variants would change the world's look more than anything else. Fixed rotation."
prop-tree-ground-spot,Art,Prop,Props,Tree ground spot,,treeSpot.svg,drawn,P0,573,344,SVG,frontend/src/features/game-objects/assets/resources/,darkness-overlay,,,The dark decal under every tree — what makes it feel planted. Randomly rotated. Re-cut it if the tree silhouette changes.
prop-boulder,Art,Prop,Props,Boulder,,stone.svg,shared,P0,116,456,SVG,frontend/src/features/game-objects/assets/resources/,,,,"Large blocking rock. Shadow baked in, never rotated."
prop-rock,Art,Prop,Props,Rock,,stone.svg,shared,P1,52,192,SVG,frontend/src/features/game-objects/assets/resources/,,,,"Same SVG as Boulder, just shrunk. Two real silhouettes = cheapest environment win after trees."
prop-mineral-ground-spot,Art,Prop,Props,Mineral ground spot,,stoneSpot.svg,drawn,P0,168,~0.7×,SVG,frontend/src/features/game-objects/assets/resources/,,,,The decal under every rock and boulder.
prop-house,Art,Prop,Props,House,,house.svg,drawn,P0,12,480 × 360,SVG,frontend/src/features/game-objects/assets/resources/,aspect-4:3,,,⭐ The only building in the game — the whole village is 12 copies. Aspect is load-bearing: anything not 4:3 visibly squashes.
prop-gatewall,Art,Prop,Props,GateWall,,gateWall.svg,drawn,P1,24,288 × 288,SVG,frontend/src/features/game-objects/assets/resources/,seamless-tiling,,,Rampart block for the city gate flanks and blocked roads. Must tile seamlessly — 24 sit shoulder to shoulder.
ground-decal-sand,Art,Ground decal,Ground decals,Sand,,sand1.svg,drawn,P0,372,150–300,SVG,frontend/src/features/game-objects/assets/resources/,rotates; flips,,,"⭐ Every road in the game is this one blob, scaled and flipped. Second-most-repeated image after the tree."
ground-decal-land,Art,Ground decal,Ground decals,Land,,land1.svg,drawn,P1,74,150–300,SVG,frontend/src/features/game-objects/assets/resources/,rotates; flips,,,"The same shape recoloured to the land colour, to paint land back over edges. Follows Sand."
ground-decal-stone-patch,Art,Ground decal,Ground decals,Stone Patch,,stonePatch.svg,drawn,P2,17,130–300,SVG,frontend/src/features/game-objects/assets/resources/,rotates; flips,,,Grey ground patch.
ground-decal-dark-stone-patch,Art,Ground decal,Ground decals,Dark Stone Patch,,darkStonePatch.svg,drawn,P3,0,130–300,SVG,frontend/src/features/game-objects/assets/resources/,darkness-overlay; rotates; flips,,,"Authored, never placed."
ground-decal-dark-green-grass-1,Art,Ground decal,Ground decals,Dark Green Grass 1,,darkGrass1.svg,drawn,P2,7,180–300,SVG,frontend/src/features/game-objects/assets/resources/,darkness-overlay; rotates; flips,,,Dark grass tuft cluster.
ground-decal-dark-green-grass-2,Art,Ground decal,Ground decals,Dark Green Grass 2,,darkGrass2.svg,drawn,P2,12,180–300,SVG,frontend/src/features/game-objects/assets/resources/,darkness-overlay; rotates; flips,,,Second dark tuft shape.
ground-decal-green-grass-1,Art,Ground decal,Ground decals,Green Grass 1,,grass1.svg,drawn,P2,6,180–300,SVG,frontend/src/features/game-objects/assets/resources/,rotates; flips,,,Light grass tuft cluster.
ground-decal-green-grass-2,Art,Ground decal,Ground decals,Green Grass 2,,grass2.svg,drawn,P2,4,180–300,SVG,frontend/src/features/game-objects/assets/resources/,rotates; flips,,,Second light tuft shape.
ground-decal-pebble,Art,Ground decal,Ground decals,Pebble,,pebble.svg,drawn,P2,1,130–200,SVG,frontend/src/features/game-objects/assets/resources/,rotates; flips,,,Small stone scatter.
ground-decal-dark-pebble,Art,Ground decal,Ground decals,Dark Pebble,,darkPebble.svg,drawn,P2,9,130–200,SVG,frontend/src/features/game-objects/assets/resources/,darkness-overlay; rotates; flips,,,Darker scatter.
ground-decal-rubble,Art,Ground decal,Ground decals,Rubble,,rubble.svg,drawn,P3,0,50–100,SVG,frontend/src/features/game-objects/assets/resources/,rotates; flips,,,Debris scatter. Never placed.
ground-decal-dark-rubble,Art,Ground decal,Ground decals,Dark Rubble,,darkRubble.svg,drawn,P2,15,50–100,SVG,frontend/src/features/game-objects/assets/resources/,darkness-overlay; rotates; flips,,,Darker debris.
ground-decal-puddle,Art,Ground decal,Ground decals,Puddle,,puddle.svg,drawn,P3,0,60–140,SVG,frontend/src/features/game-objects/assets/resources/,rotates; flips,,,Never placed.
ground-decal-dark-puddle,Art,Ground decal,Ground decals,Dark Puddle,,darkPuddle.svg,drawn,P3,0,60–140,SVG,frontend/src/features/game-objects/assets/resources/,darkness-overlay; rotates; flips,,,Never placed.
ground-decal-flowers,Art,Ground decal,Ground decals,Flowers,,flowers.svg,drawn,P2,15,70–100,SVG,frontend/src/features/game-objects/assets/resources/,rotates; flips,,,White-outlined cluster — currently the only colour accent in the terrain set.
ground-decal-leaves,Art,Ground decal,Ground decals,Leaves,,leaves.svg,drawn,P2,5,50–100,SVG,frontend/src/features/game-objects/assets/resources/,rotates; flips,,,Fallen leaf scatter.
constraint-land-colour,Constraint,Constraint,"Terrain base, lighting & structure",Land colour,,,n/a,P3,,,,,,,,Flat #006030. The canvas every asset sits on — changing it re-judges everything.
constraint-deep-water-colour,Constraint,Constraint,"Terrain base, lighting & structure",Deep water colour,,,n/a,P3,,,,,,,,"Flat #1C57B5, beyond the map edge."
constraint-shallow-water-colour,Constraint,Constraint,"Terrain base, lighting & structure",Shallow water colour,,,n/a,P3,,,,,,,,"Flat #287aff, the world-edge band."
constraint-dark-areas,Constraint,Constraint,"Terrain base, lighting & structure",Dark areas,,,n/a,P3,,,,,darkness-overlay,,,35 circles (tunnel + caves). Alpha mask with soft light holes. The hardest constraint on this page — test tunnel art against it.
constraint-campfire-sites,Constraint,Constraint,"Terrain base, lighting & structure",Campfire sites,,,n/a,P3,,,,,,,,"5 bindable fires, one the starting spawn. The only fixed landmarks players navigate by."
constraint-world-bounds,Constraint,Constraint,"Terrain base, lighting & structure",World bounds,,,n/a,P3,,,,,,,,144 × 72 m = 17280 × 8640 px. One screen is 20 m wide.
player-player-character,Art,Player,Player,Player character,,characters/player.svg,drawn,P0,,60,SVG,frontend/src/features/game-objects/assets/characters/,portrait-rule; no-rotation; damage-flash,,,⭐ One drawing is every player on the server — there's no avatar system yet. A portrait; never rotates. Smallest important sprite in the game.
player-player-hands,Art,Player,Player,Player hands,,,code,P3,,tiny,,frontend/src/features/game-objects/assets/characters/,portrait-rule; no-rotation; damage-flash,,,"Two circles drawn procedurally, skin #f2a586 + black outline. If the avatar's shape changes, these move or go."
player-corpse-gravestone,Art,Player,Player,Corpse / gravestone,,corpse.svg,drawn,P3,,100,SVG,frontend/src/features/game-objects/assets/characters/,portrait-rule; no-rotation; damage-flash,,,The marker at a death spot. Placeholder — death is a real beat in a game with a sacrifice loop.
vfx-aura-rings,Art,VFX,"In-world VFX — all code-drawn today,",Aura rings,,,code,P0,,,,,,,,"⭐ The single biggest VFX opportunity. Auras are the only way anything interacts, so this is the combat language. Currently plain circles. Colours (all placeholder): damage #e04a3c · dot #9a4ec9 · heal #4ec96a · shield #e0b83c · slow #4a9ae0 · light #f0dfa0 · resist #5fbfb0."
vfx-aura-tick-indicator,Art,VFX,"In-world VFX — all code-drawn today,",Aura tick indicator,,,code,P3,,,,,,,,The pulse when an aura fires — the beat that says damage landed.
vfx-effect-pips,Art,VFX,"In-world VFX — all code-drawn today,",Effect pips,,,code,P3,,,,,,,,"4 px dots over the head, one per applied effect. Shares the aura colour language on purpose. Known gap: a stun is indistinguishable from a slow on the wire."
vfx-overhead-health-bar,Art,VFX,"In-world VFX — all code-drawn today,",Overhead health bar,,,code,P3,,,,,,,,"Health + shield under every mob. Health #aa3b3b, shield #7dc3ff."
vfx-tier-frame-ring,Art,VFX,"In-world VFX — all code-drawn today,",Tier frame ring,,,code,P3,,,,,tier-ring,,,"Silver #c8ccd4 elite / gold #e8c04a boss. Normal gets none — a frame always means ""above baseline"". ⚑ Do not draw: replaced by the medallion rim layer (medallion-asset-spec.md §4.3); the normal-stays-bare rule survives the replacement."
vfx-nameplate-level,Art,VFX,"In-world VFX — all code-drawn today,",Nameplate & level,,,code,P3,,,,,,,,Difficulty-coloured text. Sits on top of every mob and eats the space under it.
vfx-interact-badge,Art,VFX,"In-world VFX — all code-drawn today,",Interact badge,,,code,P3,,,,,,,,"The ""you can talk to this"" marker over an NPC in range."
vfx-damage-flash,Art,VFX,"In-world VFX — all code-drawn today,",Damage flash,,,code,P3,,,,,,,,"Colour flood #BF153A over the whole sprite on hit, plus a gold burst ring for cooldowns. Applies to everything."
vfx-campfire-dwell-ring,Art,VFX,"In-world VFX — all code-drawn today,",Campfire dwell ring,,,code,P3,,,,,,,,Fills while you rest at a fire — the recovery timer made visible.
vfx-ascension-channel,Art,VFX,"In-world VFX — all code-drawn today,",Ascension channel,,,code,P0,,,,,,,,⭐ The 10 s channel that ends a character. The most important moment in the progression loop — and currently only the channelling player can see it.
vfx-darkness-overlay,Art,VFX,"In-world VFX — all code-drawn today,",Darkness overlay,,,code,P3,,,,,darkness-overlay,,,The mask itself. A constraint on art rather than an asset.
ui-damage-vignette,Art,UI,Screen & map,Damage vignette,,overlays/damage.svg,drawn,P3,,,SVG,,,,,Red screen edge on taking damage. The only full-screen art file in the project.
ui-map-markers,Art,UI,Screen & map,Map markers,,,code,P3,,,,,,,,"Minimap/world map dots. Own player #00008B, others white, tree green circle, stone grey hex, campfire orange ring #E37313. Known bug: your own 3.5 px dot vanishes under the 9 px campfire marker at your bound fire."
ui-npcplaceholder,Art,UI,Missing-art marker,NpcPlaceholder,,npcPlaceholder.svg,drawn,P3,,,SVG,,,,,"The loud ""unconfigured NPC"" marker. Keep it ugly on purpose. Not used by any shipped mob."
ui-ability-icons,Art,UI,"UI — deferred, out of scope for now",Ability icons,,,missing,P0,,,SVG,,,,,"⭐ 59 authored abilities and not one icon. The ability bar, spellbook and every tooltip render text. Listed for sizing: after the mob roster this is the largest art job in the project, and the one players stare at constantly."
ui-logo,Art,UI,"UI — deferred, out of scope for now",Logo,,logo.svg,drawn,P3,,,SVG,,,,,The Aura wordmark. Still carries the inherited branding lineage.
ui-settings-icon,Art,UI,"UI — deferred, out of scope for now",Settings icon,,settings-icon.svg,drawn,P3,,,SVG,,,,,Gear.
ui-day-cycle-icon,Art,UI,"UI — deferred, out of scope for now",Day cycle icon,,cycle-icon.svg,drawn,P3,,,SVG,,darkness-overlay,,,"Day/night indicator — the cycle is switched off at config level, so this is dark code."
terrain-fields,Art,Terrain profile,Ground — tiled texture,Fields,,Grass6.jpg,drawn,P0,,"seamless tile, 512² suggested",PNG,frontend/src/features/regions/assets/ground/,seamless-tiling; reads under blend mask; sits on land colour #006030,,,Zone 1 base ground. Shares Grass6 with Suburbs — the two must stop looking identical.
terrain-suburbs,Art,Terrain profile,Ground — tiled texture,Suburbs,,Grass6.jpg,drawn,P1,,"seamless tile, 512² suggested",PNG,frontend/src/features/regions/assets/ground/,seamless-tiling; reads under blend mask; sits on land colour #006030,,,Village/settled ground. Shares Grass6 with Fields.
terrain-ploughed,Art,Terrain profile,Ground - tiled texture,Ploughed,Z1,ploughed-placeholder.png,placeholder,P1,,seamless tile 750²,PNG,frontend/src/features/regions/assets/ground/,seamless-tiling; reads under blend mask; sits on land colour #006030,,,"Field plots, worn by POLYGONS on the Fields region (zone guide 2.2), not by regions. GENERATED placeholder (tools/make-field-tiles.mjs): furrow ridges with crevices between the clods. blend 0 - a field plot has straight man-made edges. Ships TWICE, as Ploughed and Ploughed Cross, because a profile has no rotation knob and one row direction everywhere reads as a printing error. scale 1 (NOT the usual 0.35): a tile covers 6.25 u and repeats ~1.7x on screen, where 0.35 repeated five times and read as corduroy. Furrows 0.57 u apart, soft rather than crisp, with sparse dark blotches breaking them - tuned against a reference image the PO supplied. Clods are a cellular lattice, now almost silent."
terrain-wheat,Art,Terrain profile,Ground - tiled texture,Wheat,Z1,wheat-placeholder.png,placeholder,P1,,seamless tile 750²,PNG,frontend/src/features/regions/assets/ground/,seamless-tiling; reads under blend mask; sits on land colour #006030,,,"Standing crop, same posture as Ploughed: a polygon plot, blend 0, and a Wheat Cross twin for the other row direction. GENERATED placeholder (tools/make-field-tiles.mjs), tuned against a tabletop static-grass reference the PO supplied: a dense flock of ~0.05 u TUFTS (the cellular lattice, not waves - wave marks read as squiggles or as ribbed card), with the drills deciding how much crop stands so bare earth shows between them. scale 1, drills 0.5 u apart. Fallback colour moved to #b08f4c with the art."
